Measurements/Samples,HepG2_neg,HepG2_0_5mM-glycerol,HepG2_PTPMT1_0.5mM-glycerol,HepG2_PTPMT1_neg,HMC3_PTPMT1-2_glucose,HMC3_PTPMT1-1_glucose,HMC3_glucose,HMC3_neg
BMP_18:1_18:1_C0,26588314,24796338,23779334,30392496,2806379,4029545,1925773,5886417
BMP_18:1_18:1_C1,11962732,10856478,10479727,15569372,767214,1623641,759528,1700226
BMP_18:1_18:1_C2,5369317,1832466,2354971,2447987,44922,282338,54489,60110
BMP_18:1_18:1_C3,1128196,5451004,5968828,23981,0,219948,259857,23914
BMP_18:1_18:1_C4,244478,2389339,2740687,835,0,621536,511983,150057
BMP_18:1_18:1_C5,24299,226828,492058,0,0,159518,317358,0
BMP_18:1_18:1_C6,0,2156450,1397128,0,0,277908,255220,0
PC_34:1_C0,54687129600,49080119296,46701420544,59905859584,46945128448,40481640448,36139208704,79406104576
PC_34:1_C1,26053947392,23335278592,22245181440,28682420224,22420146176,19512799232,17248350208,37791580160
PC_34:1_C2,8135934976,10870789120,8519096832,8632681472,10540770304,13574857728,13378982912,11372184576
PC_34:1_C3,1198028288,16962996224,12915359744,1343346048,5721666048,8562173440,8366885376,1767929344
PC_34:1_C4,181081392,7050403328,5275916800,194153616,2899867136,7738010624,8444389376,273461536
PC_34:1_C5,12280578,3445128960,2100514944,12629264,1519801984,4215893760,4524885504,16508092
PC_34:1_C6,0,819876224,480417856,0,593612032,3369155328,4036058624,0
